菜谱,菜谱链接,用料,评分,用户,图片,菜系,用料数
家常青椒土豆丝,https://www.douguo.com/cookbook/1717965.html,"土豆,青椒,干红辣椒,白醋,盐,调料水,姜,大蒜,食用油",4.8,Liliumlys,https://cp1.douguo.com/upload/caiku/4/e/c/400x266_4edd4d5510346a65328640e57e0d906c.jpeg,川菜,9
【麻婆豆腐】三分钟烧出让米饭遭殃的滋味豆腐,https://www.douguo.com/cookbook/994159.html,嫩豆腐,4.5,舞之灵1027,https://cp1.douguo.com/upload/caiku/1/1/0/400x266_11d80746d53a1a51c980ce659fc20980.jpg,川菜,1
#父亲节，给老爸做道菜#酸辣白菜粉条,https://www.douguo.com/cookbook/2307371.html,"娃娃菜,粉条,盐,蚝油,生抽,老醋,小米辣,大蒜",4.8,食光饥,https://cp1.douguo.com/upload/caiku/0/d/1/400x266_0df7c639475d9d74f71b87765ae65631.jpeg,川菜,8
#钟于经典传统味#简单美味宫保鸡丁，很受欢迎的一道菜！,https://www.douguo.com/cookbook/2392755.html,"鸡胸肉,胡萝卜,黄瓜,花生,黑胡椒粉,食盐,蚝油,玉米淀粉,生抽,干辣椒",4.3,虫子小c姐的厨房日记,https://cp1.douguo.com/upload/caiku/d/5/a/400x266_d53413571d6caced4182e4f2ebc2958a.jpg,川菜,10
黄记煌三汁焖锅,https://www.douguo.com/cookbook/1717952.html,"主料,鸡翅,大虾,土豆,红薯,洋葱,胡萝卜,绿辣椒,红辣椒,大蒜,葱,姜,焖酱,番茄酱,甜面酱,耗油,海鲜酱,酱油,糖,盐,鸡翅腌制料,酱油,胡椒粉,料酒,盐,海鲜腌制料,酱油,姜,料酒,蔬菜炒制调料,植物油,盐,醋",4.9,木木在厨房,https://cp1.douguo.com/upload/caiku/0/6/2/400x266_06ef95f05a077aa97828e9b596b88dc2.jpeg,川菜,33
懒人酸菜鱼,https://www.douguo.com/cookbook/1511547.html,"鲤鱼,好人家酸菜鱼调料,干辣椒,花椒,大蒜,油,姜",4.7,幸福小精灵静静,https://cp1.douguo.com/upload/caiku/9/a/4/400x266_9a77b2ab2e64079676f997f211694bb4.jpeg,川菜,7
大人孩子都爱到舔筷子的糖醋里脊,https://www.douguo.com/cookbook/1708976.html,"里脊肉,胡椒粉,姜,番茄酱,白糖,白酒,盐,淀粉,泰式甜辣酱,熟芝麻",4.8,山海五味,https://cp1.douguo.com/upload/caiku/d/d/a/400x266_dd233553eb7611d3b3bb0e06ea2f86ca.jpeg,川菜,10
电饭煲葱油鸡｜ 嫩滑鲜香,https://www.douguo.com/cookbook/2300734.html,"葱油鸡,大鸡腿,盐,白胡椒粉,姜片,葱段,料酒,酱汁,葱花,蒜蓉,小米辣椒圈,糖,盐,酱油,食用油",5.0,菜菜美食日记,https://cp1.douguo.com/upload/caiku/e/b/b/400x266_ebc7b77a62ce1c89458c8536828bc1bb.jpg,川菜,15
#父亲节，给老爸做道菜#酸辣鸡爪,https://www.douguo.com/cookbook/2308721.html,"鸡爪,生抽,陈醋,柠檬,香菜,小米辣,大蒜,姜,料酒,白砂糖,芝麻油",4.8,果果郭美食记,https://cp1.douguo.com/upload/caiku/5/e/f/400x266_5ee35147adf77d4456372fdccffa9c3f.jpg,川菜,11
#硬核菜谱制作人#干锅包菜（简易版）,https://www.douguo.com/cookbook/2330483.html,"包菜,五花肉,洋葱,干辣椒,蚝油,香醋,味精,青蒜叶",4.9,妙江南,https://cp1.douguo.com/upload/caiku/7/5/2/400x266_75fea0cd2450862064aa1d1f2e775832.jpeg,川菜,8
家庭版宫保鸡丁,https://www.douguo.com/cookbook/2365534.html,"鸡腿,花生,胡萝卜,黄瓜",5.0,奇缘0207,https://cp1.douguo.com/upload/caiku/7/c/7/400x266_7caf7c00533daf30e4e4d8ea17416567.jpg,川菜,4
青椒肉丝,https://www.douguo.com/cookbook/2384558.html,"青椒,猪肉丝,胡萝卜,葱姜蒜,酱油,盐,豆瓣酱,糖,料酒,淀粉,食用油",4.9,MuseFood,https://cp1.douguo.com/upload/caiku/9/9/f/400x266_9968245274c3fd85eac76b98bb35b5af.jpeg,川菜,11
剁椒鱼头,https://www.douguo.com/cookbook/1725785.html,"鱼头,剁椒,蒸鱼豉油,姜片",5.0,爱生活的馋猫,https://cp1.douguo.com/upload/caiku/7/6/a/400x266_76255a29b90ab90adf47ccf9d708f5da.jpg,川菜,4
麻婆豆腐#《风味人间》美食复刻大挑战#,https://www.douguo.com/cookbook/1719482.html,"豆腐,麻椒面,辣椒面,郫县豆瓣酱,葱姜,味极鲜酱油,玉米糖浆,淀粉,水（淀粉用）,清水,油",4.7,椛吃,https://cp1.douguo.com/upload/caiku/5/6/5/400x266_569a61bbdefdcabc5fc7cd3be4316395.jpeg,川菜,11
家常豆腐,https://www.douguo.com/cookbook/2063679.html,"老豆腐,豆瓣酱,姜,盐,生抽,蚝油,豆瓣酱,白糖,葱花,蒜",4.5,亦荷yihe,https://cp1.douguo.com/upload/caiku/0/3/3/400x266_03b3ac0b9afdfb13c107ec9ce75d6623.jpg,川菜,10
#一道菜表白豆果美食#酸辣无骨鸡爪这样做，嚼劲十足,https://www.douguo.com/cookbook/2390568.html,"鸡爪,青柠,香菜,小米椒,剁椒,八角花椒香叶桂皮姜片,蒜末,料酒,生抽,陈醋,芝麻油",4.8,铭铭厨吧,https://cp1.douguo.com/upload/caiku/5/e/1/400x266_5ed3f5610654abf06836a33f216905f1.jpg,川菜,11
川味“宫保鸡丁”,https://www.douguo.com/cookbook/1724938.html,"鸡腿,熟花生,干辣椒,花椒,蚝油,酱油,料酒,香菇,蒜末,姜末,盐,白糖,淀粉,黑胡椒,香醋,油,葱",5.0,萱萱妈美食,https://cp1.douguo.com/upload/caiku/d/7/7/400x266_d72be37f0c3cfb859df112ca1b150a47.jpeg,川菜,17
糖醋鸡柳,https://www.douguo.com/cookbook/2351446.html,"鸡胸肉,鸡蛋,葱花,淀粉,番茄酱,盐,料酒,生抽,白糖,白芝麻,水,白胡椒粉,干淀粉,白醋",4.9,莫哂之,https://cp1.douguo.com/upload/caiku/9/c/a/400x266_9ca1b32f449c9da1aebe862479d4290a.jpeg,川菜,14
